,order_id,order_status,customer,order_date,order_quantity,sales,discount,discount_value,product_category,product_sub_category,order_year,order_month,discount_ratio
71,11460,order finished,carl jackson,2010-08-24,30,204480,0.09,18403.0,office supplies,labels,2010,8,0.08999902190923317
72,11495,order finished,brendan dodson,2011-07-04,6,1931380,0.0,0.0,furniture,tables,2011,7,0.0
73,11911,order returned,edward hooks,2010-11-10,25,795680,0.0,0.0,office supplies,binders & binder accessories,2010,11,0.0
74,11941,order finished,jamie kunitz,2010-06-24,4,146140,0.08,11691.0,office supplies,storage & organization,2010,6,0.0799986314492952
75,12096,order returned,michelle lonsdale,2012-09-19,46,16019185,0.02,320384.0,technology,telephones & communication,2012,9,0.020000018727544505
76,12289,order finished,brendan dodson,2011-12-24,25,6038820,0.04,241553.0,technology,office machines,2011,12,0.04000003311905306
77,12352,order finished,hunter glantz,2012-03-23,5,73720,0.07,5160.0,office supplies,binders & binder accessories,2012,3,0.06999457406402604
78,12419,order finished,sylvia foulston,2011-10-15,12,44158940,0.06,2649536.0,technology,office machines,2011,10,0.059999990941811555
79,12485,order finished,eugene barchas,2010-08-07,24,10814620,0.04,432585.0,furniture,chairs & chairmats,2010,8,0.04000001849348382
80,12544,order finished,jim radford,2009-03-03,34,148600,0.08,11888.0,furniture,office furnishings,2009,3,0.08
81,12704,order returned,carlos soltero,2010-02-09,44,43013540,0.06,2580812.0,technology,copiers & fax,2010,2,0.05999999070060265
82,12771,order finished,carlos soltero,2009-01-17,40,2286980,0.08,182958.0,office supplies,labels,2009,1,0.07999982509685262
83,12929,order finished,jim radford,2010-08-30,19,10594940,0.02,211899.0,furniture,chairs & chairmats,2010,8,0.020000018876935595
84,13280,order finished,grant carroll,2009-09-11,40,921360,0.01,9214.0,office supplies,storage & organization,2009,9,0.010000434140835287
85,13313,order finished,skye norling,2009-07-16,47,2041220,0.04,81649.0,office supplies,appliances,2009,7,0.04000009798061943
86,13346,order finished,doug bickford,2012-11-15,44,536680,0.09,48301.0,office supplies,paper,2012,11,0.08999962733845122
87,13702,order finished,grant carroll,2011-09-10,6,418000,0.08,33440.0,office supplies,paper,2011,9,0.08
88,13795,order finished,muhammed mac intyre,2011-04-10,30,1002640,0.04,40106.0,office supplies,binders & binder accessories,2011,4,0.0400003989467805
89,14116,order finished,doug bickford,2011-10-09,1,80200,0.09,7218.0,office supplies,binders & binder accessories,2011,10,0.09
90,14372,order finished,beth thompson,2012-10-23,34,10701220,0.09,963110.0,furniture,bookcases,2012,10,0.09000001868945784
91,14726,order finished,ralph knight,2012-01-08,15,621740,0.07,43522.0,technology,computer peripherals,2012,1,0.07000032167787178
92,14819,order finished,carl jackson,2010-01-25,48,18125460,0.09,1631291.0,office supplies,appliances,2010,1,0.08999997793159456
93,15106,order returned,dorothy badders,2011-01-27,42,567160,0.03,17015.0,furniture,office furnishings,2011,1,0.030000352634177305
94,15108,order finished,delfina latchford,2009-08-27,50,4132320,0.02,82646.0,office supplies,paper,2009,8,0.01999990320207535
95,15205,order finished,julia west,2011-03-17,18,9210720,0.02,184214.0,furniture,chairs & chairmats,2011,3,0.019999956572341795
96,15591,order finished,brad eason,2012-06-06,31,852680,0.0,0.0,furniture,office furnishings,2012,6,0.0
97,15907,order finished,thomas seio,2011-04-11,36,3674880,0.01,36749.0,furniture,bookcases,2011,4,0.010000054423545802
98,15937,order finished,monica federle,2012-11-06,32,622880,0.04,24915.0,technology,computer peripherals,2012,11,0.03999967891086566
99,16039,order finished,michelle lonsdale,2012-05-16,3,242240,0.1,24224.0,technology,computer peripherals,2012,5,0.1
100,16193,order finished,frank price,2012-04-09,8,600400,0.0,0.0,office supplies,storage & organization,2012,4,0.0
101,16423,order finished,bryan davis,2012-08-05,19,256420,0.05,12821.0,office supplies,paper,2012,8,0.05
102,16451,order finished,don jones,2009-07-22,9,505580,0.09,45502.0,office supplies,binders & binder accessories,2009,7,0.0899996044147316
103,16545,order finished,carlos soltero,2010-05-09,10,101940,0.09,9175.0,office supplies,pens & art supplies,2010,5,0.09000392387679026
104,16547,order finished,nicole hansen,2009-02-18,30,21109260,0.09,1899833.0,furniture,chairs & chairmats,2009,2,0.08999998105097005
105,16706,order finished,beth thompson,2012-06-27,47,3887440,0.03,116623.0,furniture,office furnishings,2012,6,0.029999948552260614
106,16741,order finished,nicole hansen,2010-09-30,6,315940,0.01,3159.0,office supplies,paper,2010,9,0.009998733936823448
107,16932,order finished,carlos soltero,2010-04-15,25,289680,0.09,26071.0,office supplies,paper,2010,4,0.08999930958298813
108,17283,order finished,dorothy badders,2011-09-14,4,10944240,0.06,656654.0,technology,office machines,2011,9,0.05999996345109391
109,17286,order finished,muhammed mac intyre,2010-09-21,7,3621340,0.09,325921.0,furniture,chairs & chairmats,2010,9,0.09000011045635041
110,17409,order finished,muhammed mac intyre,2010-08-17,31,1267120,0.09,114041.0,technology,computer peripherals,2010,8,0.09000015783824736
111,17764,order finished,don miller,2009-09-16,27,1288800,0.04,51552.0,office supplies,paper,2009,9,0.04
112,18080,order finished,sylvia foulston,2009-06-22,7,2423960,0.1,242396.0,furniture,chairs & chairmats,2009,6,0.1
113,18113,order finished,becky castell,2012-08-28,27,6632160,0.08,530573.0,furniture,chairs & chairmats,2012,8,0.0800000301560879
114,18144,order finished,dorothy wardle,2011-06-07,48,414160,0.09,37274.0,office supplies,paper,2011,6,0.08999903418968515
115,18308,order finished,ann chong,2009-10-09,30,228240,0.05,11412.0,office supplies,binders & binder accessories,2009,10,0.05
116,18887,order finished,clay rozendal,2010-12-05,9,346834,0.0,0.0,technology,telephones & communication,2010,12,0.0
117,19010,order returned,grant carroll,2009-06-07,18,47585860,0.0,0.0,office supplies,binders & binder accessories,2009,6,0.0
118,19078,order returned,brendan dodson,2009-07-27,21,512240,0.03,15367.0,office supplies,appliances,2009,7,0.02999960955801968
119,19138,order returned,carlos daly,2011-09-05,30,774000,0.01,7740.0,office supplies,storage & organization,2011,9,0.01
120,19655,order finished,alan barnes,2009-01-11,31,2286900,0.06,137214.0,technology,computer peripherals,2009,1,0.06
121,19686,order finished,alan barnes,2010-08-15,2,84620,0.06,5077.0,technology,office machines,2010,8,0.05999763649255495
122,20007,order finished,nicole hansen,2009-08-05,49,165220,0.08,13218.0,office supplies,pens & art supplies,2009,8,0.08000242101440504
123,20071,order finished,cari schnelling,2011-09-17,31,1579880,0.1,157988.0,furniture,chairs & chairmats,2011,9,0.1
124,20160,order finished,chad cunningham,2011-10-22,42,870480,0.08,69638.0,office supplies,paper,2011,10,0.07999954048341146
125,20263,order finished,bryan mills,2009-11-14,8,947400,0.05,47370.0,office supplies,binders & binder accessories,2009,11,0.05
126,21285,order finished,adrian hane,2010-07-03,32,109560,0.02,2191.0,office supplies,pens & art supplies,2010,7,0.019998174516246806
127,21383,order returned,rick reed,2009-01-30,31,32133700,0.07,2249359.0,technology,office machines,2009,1,0.07
128,21607,order finished,heather kirkland,2012-03-15,17,1237800,0.09,111402.0,office supplies,pens & art supplies,2012,3,0.09
129,21636,order finished,fred wasserman,2009-08-10,35,3330079,0.02,66602.0,technology,telephones & communication,2009,8,0.020000126123134017
130,21889,order finished,becky castell,2010-04-01,21,2099580,0.08,167966.0,furniture,office furnishings,2010,4,0.07999980948570666
131,22151,order finished,beth thompson,2010-07-31,49,931660,0.1,93166.0,furniture,office furnishings,2010,7,0.1
132,22342,order finished,claudia miner,2009-05-29,13,483412,0.0,0.0,technology,telephones & communication,2009,5,0.0
133,22469,order finished,jack lebron,2010-10-11,44,551820,0.1,55182.0,technology,telephones & communication,2010,10,0.1
134,22501,order finished,alan barnes,2010-05-18,2,61660,0.04,2466.0,office supplies,envelopes,2010,5,0.03999351281219591
135,22532,order finished,carlos soltero,2011-02-08,13,243320,0.03,7300.0,office supplies,binders & binder accessories,2011,2,0.030001643925694557
136,23264,order finished,clay rozendal,2010-12-07,16,216840,0.02,4337.0,office supplies,paper,2010,12,0.020000922339051836
137,23488,order returned,julia west,2009-01-06,30,52266780,0.04,2090671.0,furniture,bookcases,2009,1,0.03999999617347769
138,23584,order finished,alan barnes,2012-03-12,14,5342420,0.06,320545.0,technology,office machines,2012,3,0.059999962563781956
139,24007,order finished,joy bell,2010-08-26,26,1063320,0.08,85066.0,technology,computer peripherals,2010,8,0.08000037618026558
140,24038,order finished,jack lebron,2011-06-20,38,206140,0.1,20614.0,office supplies,pens & art supplies,2011,6,0.1
141,24097,order finished,anthony johnson,2010-08-04,1,34380,0.0,0.0,technology,computer peripherals,2010,8,0.0
142,24128,order finished,eugene barchas,2010-11-23,13,541260,0.1,54126.0,office supplies,paper,2010,11,0.1
143,24294,order finished,thomas seio,2009-08-02,24,9731440,0.03,291943.0,technology,office machines,2009,8,0.029999979448057018
144,24387,order finished,bryan mills,2011-08-10,23,2006620,0.01,20066.0,furniture,office furnishings,2011,8,0.009999900329908004
145,24515,order finished,eugene barchas,2010-05-06,41,6102540,0.1,610254.0,technology,office machines,2010,5,0.1
146,24743,order finished,sylvia foulston,2012-06-28,47,19267180,0.06,1156031.0,furniture,chairs & chairmats,2012,6,0.06000001038034627
147,24871,order finished,carl ludwig,2011-03-23,6,287560,0.04,11502.0,furniture,office furnishings,2011,3,0.03999860898595076
148,25318,order finished,julia west,2011-11-19,22,881840,0.05,44092.0,furniture,office furnishings,2011,11,0.05
149,25377,order finished,don jones,2012-11-26,3,8687020,0.09,781832.0,technology,office machines,2012,11,0.09000002302285479
150,25634,order finished,mike pelletier,2010-07-29,29,1186640,0.03,35599.0,technology,computer peripherals,2010,7,0.029999831456886672
151,25733,order finished,eugene barchas,2012-05-12,24,1114460,0.09,100301.0,office supplies,binders & binder accessories,2012,5,0.08999964108177952
152,25767,order finished,ann chong,2012-03-03,7,523760,0.08,41901.0,technology,computer peripherals,2012,3,0.0800003818542844
153,26023,order finished,charles mc crossin,2010-08-20,49,241540,0.03,7246.0,office supplies,rubber bands,2010,8,0.029999171979796308
154,26051,order finished,annie cyprus,2010-06-27,22,1591480,0.0,0.0,furniture,chairs & chairmats,2010,6,0.0
155,26116,order finished,carlos soltero,2012-10-29,36,1394820,0.04,55793.0,office supplies,paper,2012,10,0.04000014338767726
156,26182,order finished,doug bickford,2010-01-16,30,9369800,0.01,93698.0,furniture,bookcases,2010,1,0.01
157,26272,order finished,carlos daly,2012-06-29,6,1811880,0.04,72475.0,furniture,chairs & chairmats,2012,6,0.03999988961741396
158,26370,order finished,fred wasserman,2011-08-08,12,540460,0.08,43237.0,office supplies,paper,2011,8,0.08000037005513821
159,26499,order finished,sylvia foulston,2010-02-21,11,64800,0.05,3240.0,office supplies,labels,2010,2,0.05
160,26531,order finished,michelle lonsdale,2011-06-20,26,9377897,0.0,0.0,technology,telephones & communication,2011,6,0.0
161,26567,order finished,sylvia foulston,2009-09-04,8,101400,0.08,8112.0,office supplies,binders & binder accessories,2009,9,0.08
162,26854,order finished,charlotte melton,2009-06-21,1,68220,0.02,1364.0,furniture,office furnishings,2009,6,0.01999413661682791
163,27109,order finished,barry french,2012-02-08,48,1076440,0.01,10764.0,technology,computer peripherals,2012,2,0.009999628404741556
164,27111,order finished,heather kirkland,2009-03-11,11,2128460,0.06,127708.0,technology,computer peripherals,2009,3,0.060000187929300994
165,27264,order finished,henry goldwyn,2011-06-04,3,148100,0.02,2962.0,furniture,office furnishings,2011,6,0.02
166,27392,order finished,frank price,2012-03-02,37,11507700,0.0,0.0,technology,office machines,2012,3,0.0
167,27553,order finished,jim radford,2011-08-12,48,36470940,0.03,1094128.0,office supplies,storage & organization,2011,8,0.029999994516181926
168,27555,order finished,ralph knight,2009-09-01,32,418840,0.1,41884.0,office supplies,paper,2009,9,0.1
169,27680,order finished,delfina latchford,2010-01-26,32,648800,0.1,64880.0,office supplies,appliances,2010,1,0.1
170,27778,order finished,roy skaria,2011-09-02,1,465340,0.02,9307.0,office supplies,binders & binder accessories,2011,9,0.020000429793269436
171,27909,order finished,monica federle,2012-02-07,1,124520,0.09,11207.0,office supplies,paper,2012,2,0.0900016061676839
172,28003,order returned,charles mc crossin,2011-03-19,31,315580,0.09,28402.0,office supplies,paper,2011,3,0.08999936624627669
173,28035,order finished,don miller,2011-05-08,19,752420,0.03,22573.0,office supplies,binders & binder accessories,2011,5,0.03000053161797932
174,28135,order finished,jeremy lonsdale,2009-09-25,37,3202480,0.08,256198.0,office supplies,appliances,2009,9,0.07999987509679998
175,28165,order finished,grant carroll,2012-07-09,2,49920,0.05,2496.0,office supplies,binders & binder accessories,2012,7,0.05
176,28289,order finished,carl ludwig,2010-01-14,31,333520,0.01,3335.0,office supplies,paper,2010,1,0.009999400335811945
177,28486,order finished,carlos daly,2009-08-26,2,1622260,0.08,129781.0,office supplies,storage & organization,2009,8,0.08000012328480022
178,28675,order finished,ralph knight,2009-10-08,15,1645685,0.1,164569.0,technology,telephones & communication,2009,10,0.10000030382485105
179,28870,order finished,cindy schnelling,2011-11-10,35,6621891,0.05,331095.0,technology,telephones & communication,2011,11,0.05000006795641909
180,28871,order finished,claudia miner,2012-04-15,10,110040,0.08,8803.0,technology,computer peripherals,2012,4,0.07999818247909851
181,29030,order finished,roy skaria,2012-01-02,10,385160,0.05,19258.0,office supplies,pens & art supplies,2012,1,0.05
182,29095,order returned,delfina latchford,2011-03-08,40,583340,0.01,5833.0,office supplies,binders & binder accessories,2011,3,0.00999931429355093
183,29287,order finished,edward hooks,2009-07-02,50,562780,0.1,56278.0,office supplies,binders & binder accessories,2009,7,0.1
184,29510,order finished,don miller,2011-04-15,22,12247880,0.01,122479.0,furniture,bookcases,2011,4,0.010000016329356591
185,29795,order finished,grant carroll,2011-11-25,49,38650400,0.05,1932520.0,office supplies,binders & binder accessories,2011,11,0.05
186,29795,order cancelled,grant carroll,2011-11-25,49,38650400,0.05,1932520.0,office supplies,binders & binder accessories,2011,11,0.05
187,29861,order returned,brad eason,2012-04-25,11,70340,0.03,2110.0,office supplies,labels,2012,4,0.029997156667614443
188,30658,order finished,charles mc crossin,2011-03-26,35,34775300,0.08,2782024.0,technology,copiers & fax,2011,3,0.08
189,30947,order finished,charles mc crossin,2010-07-14,17,1383180,0.03,41495.0,office supplies,binders & binder accessories,2010,7,0.029999710811318844
190,31077,order finished,bryan mills,2010-10-23,36,3910153,0.06,234609.0,technology,telephones & communication,2010,10,0.0599999539659957
191,31111,order finished,monica federle,2009-08-24,27,435860,0.03,13076.0,office supplies,paper,2009,8,0.030000458862937642
192,31169,order finished,michelle lonsdale,2011-06-09,6,509520,0.06,30571.0,furniture,office furnishings,2011,6,0.059999607473700735
193,31270,order finished,michelle lonsdale,2012-11-23,21,13613320,0.0,0.0,furniture,chairs & chairmats,2012,11,0.0
194,31364,order finished,beth thompson,2009-05-01,2,1578020,0.07,110461.0,office supplies,storage & organization,2009,5,0.06999974651778812
195,31393,order finished,cindy schnelling,2012-05-11,4,195140,0.04,7806.0,furniture,office furnishings,2012,5,0.040002049810392536
196,31492,order finished,nicole hansen,2010-10-15,26,643360,0.04,25734.0,office supplies,appliances,2010,10,0.03999937826411341
197,31558,order finished,cari schnelling,2011-07-23,12,7342600,0.04,293704.0,office supplies,appliances,2011,7,0.04
198,31618,order finished,roy skaria,2011-07-11,14,806340,0.02,16127.0,office supplies,binders & binder accessories,2011,7,0.020000248034327952
199,31684,order finished,susan vittorini,2012-09-16,15,179940,0.02,3599.0,office supplies,paper,2012,9,0.02000111148160498
200,31781,order finished,sylvia foulston,2009-01-16,46,498040,0.1,49804.0,office supplies,binders & binder accessories,2009,1,0.1
201,31781,order cancelled,sylvia foulston,2009-01-16,46,498040,0.1,49804.0,office supplies,binders & binder accessories,2009,1,0.1
202,32193,order finished,chad cunningham,2010-10-20,4,81440,0.1,8144.0,office supplies,paper,2010,10,0.1
203,32229,order finished,carlos daly,2010-08-30,8,2438380,0.02,48768.0,technology,office machines,2010,8,0.02000016404334025
204,32743,order finished,grant carroll,2010-05-07,19,7097340,0.01,70973.0,office supplies,appliances,2010,5,0.009999943640856997
205,32806,order finished,julia west,2011-06-21,8,357560,0.02,7151.0,furniture,office furnishings,2011,6,0.019999440653316925
206,33123,order finished,roy skaria,2010-11-24,41,12091960,0.08,967357.0,furniture,bookcases,2010,11,0.08000001653991577
207,33159,order finished,cindy schnelling,2012-04-27,3,113390,0.01,1134.0,technology,telephones & communication,2012,4,0.010000881911985183
208,33186,order finished,don jones,2012-08-28,24,2701062,0.01,27011.0,technology,telephones & communication,2012,8,0.01000014068540448
209,33377,order finished,beth thompson,2011-07-31,20,200800,0.06,12048.0,office supplies,paper,2011,7,0.06
210,33444,order finished,alan barnes,2012-10-06,11,61020,0.09,5492.0,office supplies,pens & art supplies,2012,10,0.09000327761389708
211,33703,order finished,carl ludwig,2010-02-06,4,484720,0.08,38778.0,technology,computer peripherals,2010,2,0.08000082521868294
212,33734,order finished,jamie kunitz,2011-10-17,13,743880,0.05,37194.0,office supplies,paper,2011,10,0.05
213,33888,order finished,heather kirkland,2009-08-20,31,698860,0.04,27954.0,office supplies,binders & binder accessories,2009,8,0.039999427639298285
214,33894,order finished,doug bickford,2010-06-14,14,281320,0.0,0.0,office supplies,paper,2010,6,0.0
215,33922,order finished,carlos daly,2010-02-27,31,30503000,0.06,1830180.0,technology,office machines,2010,2,0.06
216,34177,order finished,toby braunhardt,2009-08-15,13,68840,0.02,1377.0,office supplies,labels,2009,8,0.020002905287623475
217,34215,order finished,cari schnelling,2011-05-14,6,71300,0.02,1426.0,office supplies,binders & binder accessories,2011,5,0.02
218,34246,order finished,thomas seio,2010-10-07,49,399720,0.03,11992.0,office supplies,appliances,2010,10,0.030001000700490343
219,34631,order finished,brendan dodson,2009-10-23,5,44120,0.06,2647.0,office supplies,binders & binder accessories,2009,10,0.05999546690843155
220,35047,order returned,charlotte melton,2010-06-09,31,296340,0.0,0.0,office supplies,rubber bands,2010,6,0.0
221,35266,order finished,beth thompson,2011-01-10,39,434500,0.07,30415.0,office supplies,pens & art supplies,2011,1,0.07
222,35847,order finished,eugene barchas,2009-01-30,23,723300,0.08,57864.0,technology,computer peripherals,2009,1,0.08
223,36001,order finished,michelle lonsdale,2011-03-28,45,2077640,0.05,103882.0,office supplies,binders & binder accessories,2011,3,0.05
224,36134,order finished,grant carroll,2010-11-22,6,1653947,0.01,16539.0,technology,telephones & communication,2010,11,0.009999715831281172
225,36135,order finished,beth paige,2011-05-30,33,1998452,0.02,39969.0,technology,telephones & communication,2011,5,0.01999997998450801
226,36644,order finished,dorothy wardle,2012-05-13,24,4596640,0.06,275798.0,technology,computer peripherals,2012,5,0.05999991297991576
227,36646,order finished,muhammed mac intyre,2010-06-08,24,2336300,0.04,93452.0,office supplies,storage & organization,2010,6,0.04
228,36707,order returned,charlotte melton,2009-11-29,47,363560,0.02,7271.0,office supplies,rubber bands,2009,11,0.019999449884475738
229,37253,order finished,muhammed mac intyre,2012-09-01,46,2368640,0.09,213178.0,technology,computer peripherals,2012,9,0.0900001688732775
230,37541,order finished,claudia miner,2010-02-26,3,143880,0.01,1439.0,technology,computer peripherals,2010,2,0.010001390047261607
231,37634,order finished,brendan dodson,2012-05-21,32,736360,0.07,51545.0,office supplies,storage & organization,2012,5,0.06999972839372046
232,37793,order finished,dorothy wardle,2009-11-08,16,448940,0.08,35915.0,office supplies,"scissors, rulers & trimmers",2009,11,0.07999955450617009
